Argument,Label
My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren't the cause of obesity.,faulty generalization
"My roommate Fatima said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!'Â Insisted Baneen.",faulty generalization
"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast.",faulty generalization
I have several female friends and every one of them loves country music. All females love country music.,faulty generalization
"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",faulty generalization
Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),faulty generalization
"""That new home looks great! Let's buy it!""",faulty generalization
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",faulty generalization
We think this new MallTime game app will be a success because all little girls like shopping.,faulty generalization
"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned.",faulty generalization
The two courses I took at Harvard were not very interesting. I don't think it is a good university.'Â,faulty generalization
"Birds can fly; therefore, penguins can fly.'Â",faulty generalization
I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,faulty generalization
"On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!",faulty generalization
"Even without watching the movie, I just know that it would not be as good as the book.",faulty generalization
"Pain-Away worked for me, so it's sure to work for you, too.'Â",faulty generalization
"The government is convinced that it was a bomb that brought down the aircraft. 'Our countrymen believe it was a bomb,'Â said the president. 'A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist's bomb.'Â",faulty generalization
All of those who hate the Duterte administration are CPP-NPA supporters.,faulty generalization
"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too.",faulty generalization
"JOHN F. KENNEDY: I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world'Â¦ (from opening statement) RICHARD NIXON: We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. Now last year, of course, was 1958. That happened to be a recession year. But when we look at the growth of G.N.P. this year, a year of recovery, we find that it's six and nine-tenths per cent and one of the highest in the world today'Â¦ (from opening statement) September 26, 1960 Chicago, Illinois What logical fallacy does Kennedy use?",faulty generalization
"""You shouldn't go to 'Vomito' I went once and the food was awful."" is",faulty generalization
"""Avoid Latam Airlines. Their planes are always late"" is what kind of fallacy?",faulty generalization
"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.",faulty generalization
"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.",faulty generalization
Christine has a terrible experience with a boyfriend. She decides that all boys are mean.,faulty generalization
We think that Malltime will be a success because all little girls like shopping.,faulty generalization
"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization
"The spider that bit was poison, therefore all spiders are poison.",faulty generalization
The child did not do his chores so therefore all children are lazy.,faulty generalization
The teenagers where rude and disrespectful therefore all teenagers are rude and disrespectful.,faulty generalization
This guy in my class with glasses always talks in class so all guys with glasses are talkative.,faulty generalization
I met a rude person from France yesterday. I guess all French people are rude.,faulty generalization
Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,faulty generalization
"Because young male drivers are twice as likely to get into a car accident, they should pay more for car insurance.'Â",faulty generalization
news organizations are Fake News?,faulty generalization
Alissa has class with a football player who is a class clown. He disrupts the class and is failing. Alissa decides all football players are not serious students.,faulty generalization
"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",faulty generalization
"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand. Therefore, it must be great.",faulty generalization
"""Even though it's only the first day, I can tell this is going to be a boring course.""",faulty generalization
"Southerners talk fast. I was just on the phone with one, and I could barely keep up!",faulty generalization
"I have a red car. My car was in a wreck. Therefore, all red cars get wrecked.",faulty generalization
There aren't any good restaurants in Sydney; I tried two and they were both horrible.'Â,faulty generalization
"to define a person based on faulty opinions derived by judgments made about a group, a class, or race of people",faulty generalization
Why did the blond cross the road? Because she saw a shoe sale!,faulty generalization
"Everyone who gets a college degree is better off. All people who are better off as a result of getting a degree are good to have conversations with. Therefore, everyone who gets a college degree is a good person to have a conversation with.",faulty generalization
People who wear glasses are smarter.,faulty generalization
All dogs go to heaven.,faulty generalization
All tall people are good basketball players.,faulty generalization
1 = a number; 2 = a number; therefore 1 = 2.,faulty generalization
Women can't do as good a job as men.,faulty generalization
All people who live in England have bad teeth.,faulty generalization
Pre-AP kids are smart and creative.,faulty generalization
My job interview did not go well. I'll never get a job.,faulty generalization
"If you get in a car wreck, and the fault of the wreck is a teenage boy at ECR, believing all teenage boys at ECR are bad drivers is an example of:",faulty generalization
Look at people like Michael Vick and OJ Simpson. Professional athletes really have no sense of morality.,faulty generalization
Teenagers are too immature and self-absorbed to understand anything about global issues.,faulty generalization
"My cat sleeps all day, so cats must be pretty lazy.",faulty generalization
People nowadays only vote with their emotions instead of their brains.'Â,faulty generalization
Parents today would rather their kids suppress their identity rather than just be who they are even if it doesn't go with the norm.,faulty generalization
People who read are smart.,faulty generalization
"""I have one Japanese friend and it's true that all of them are numb.""",faulty generalization
"""Annie must like Starbucks because all girls like Starbucks.""",faulty generalization
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?",faulty generalization
"There are no good restaurants in New York; I tried two in Times Square, and they were awful.",faulty generalization
"""Everyone wants to be an English teacher.""",faulty generalization
"""Sarah likes to run. All girls must like to run.""",faulty generalization
"""No one stops to process...No one appreciates the value"" is an example of",faulty generalization
"""My uncle eats pizza and cake and he is thin. Pizza and cake aren't the cause of obesity. "" is an example of",faulty generalization
"""Some tall people recently vandalized the park, tall people are irresponsible.""",faulty generalization
"Sarah loves to wear running shoes, all girls must like to run.",faulty generalization
"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!'Â",faulty generalization
"My parents are democrats, and they are good people. Therefore, all democrats must be good people.",faulty generalization
"""All Muslims are terrorists"" is an example of",faulty generalization
I can tell this movie is going to be terrible; the opening credits aren't even over yet!,faulty generalization
"""Everyone who likes pizza likes pepperoni"" is an example of",faulty generalization
"Teachers don't have lives.""My best friend said her English class was hard, and the one I'm in is hard too. All English classes must be hard.""",faulty generalization
"""My cousin said her Math class was hard. The one that I'm in is hard too. All Math classes must be hard."" This statement is an example of'Â¦",faulty generalization
All chess players are geniuses.,faulty generalization
"Trying to finish a marathon is impossible, I know because I tried it once.",faulty generalization
"Saying things like ""ALL teenagers are irresponsible"" would be an example of which type of fallacy?",faulty generalization
"""The two courses I took at UWI were not very interesting. I don't think its a good university.""",faulty generalization
"My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.",faulty generalization
I can't trust the mayor or the governor. All politicians must be liars.,faulty generalization
All writing teachers must be awesome because Ms. Lopez is.,faulty generalization
"Unfair judgement of people based on looks, belief, or ethnic background.",faulty generalization
"A shopkeeper suspects you of stealing and asks you to empty your pockets. The first thing you take out is an empty gum wrapper and they immediately shout, 'I knew it!'Â What fallacy has the shopkeeper committed?",faulty generalization
You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?,faulty generalization
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?",faulty generalization
"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment.""",faulty generalization
Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.,faulty generalization
A lion is a cat and cats are good pets so a lion must be a good pet.,faulty generalization
"All of my red-headed friends are good dancers. Therefore, all red-headed people must be good dancers. This assumption from my experience is an example of",faulty generalization
Why did the blonde cross the road? Because she saw a shoe sale!,faulty generalization
"Which rhetorical fallacy is a broad statement about people on the basis of gender, ethnicity, race, or political, social, professional, or religious group?",faulty generalization
"My neighbor's cat attacked me, therefore all cats are evil.",faulty generalization
"Sometimes flu vaccines don't work, therefore vaccines are useless.",faulty generalization
"I saw two women get in a car accident. Therefore, all women are bad drivers",faulty generalization
I saw that dog eat chicken so all dogs must only eat chicken.,faulty generalization
My mom says that most tourist from France are rude. She had to wait on one the other day and the lady threw her pancakes on the ground because they were not big enough.,faulty generalization
"My friend said her Math class was hard, and the one I'm in is hard, too. All Math classes must be hard!",faulty generalization
There was a fight at school today. Violence is a growing problem in school.,faulty generalization
"We should go inside; the last time the clouds were that dark, there was a tornado.",faulty generalization
My Aunt was in the hospital for 6 weeks because she didn't wear a seatbelt.,faulty generalization
My teacher told us she learned the hard way that procrastination is a bad habit!,faulty generalization
I work out in the morning because it worked for my friend.,faulty generalization
"""Some tall people recently vandalized the park. Tall people are so irresponsible.""",faulty generalization
A few students are misbehaving...therefore the whole class is bad. What fallacy is this an example of?,faulty generalization
"Three kids in one class failed the Jane Eyre quiz, I guess,all the other classes will all fail it, too.",faulty generalization
"Chihuahuas are good inside dogs. German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too.",faulty generalization
Girls should not be allowed . to try out as kickers for school football teams because girls are not very athletic.,faulty generalization
"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student.",faulty generalization
All students are good and all clowns are bad.,faulty generalization
Even though people say we are going to behave; we know they won't behave well.,faulty generalization
"My parents are vegetarians, and they are good people. Therefore, all vegetarians must be good people.",faulty generalization
"That German, Fred, stole my wallet. All Germans are thieves.",faulty generalization
The meteorologist predicted the wrong amount of rain for May. Obviously the meteorologist is unreliable.,faulty generalization
"My first day of basketball practice was easy, so it will always be easy.",faulty generalization
"My first time meeting Mr. Casal went poorly, so his class will not be a good one this year.",faulty generalization
"My first time walking the dog went terribly, so my dog is a terrible one.",faulty generalization
"The first time I went to Six Flags was great, so every time I go there will be great.",faulty generalization
Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday. Which logical fallacy is represented here?,faulty generalization
"In paragraph 43, Rodriguez accuses the middle-class ethnics of being guilty of which of the following logical fallacies?",faulty generalization
"""Freedom of choice is an important freedom. Students should have the freedom to choose between different types of soft drinks.""",faulty generalization
"After I listened to the first song of my favorite musician's new vinyl record, I knew I'd hate the entire record, so I converted it into a Frisbee.",faulty generalization
"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",faulty generalization
My car broke down yesterday. Cars are worthless.,faulty generalization
He has smoked cigarettes his entire life and he doesn't have lung cancer. Therefore smoking doesn't cause lung cancer.,faulty generalization
"""Blondes are less intelligent than people with other hair colors.""",faulty generalization
"""You were late tonight. You must be cheating!""",faulty generalization
"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms. What fallacy did Sara use here?",faulty generalization
"""My roommate said her Debate class was hard, and the one that I'm in right now is hard, too. All Debate classes must be hard!'Â",faulty generalization
"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes.",faulty generalization
War on drugs instills fear to criminals so it can stop the crimes in the Philippines.,faulty generalization
"My roommate said her philosophy class was difficult, and the one I'm in is difficult, too. All philosophy classes must be hard.",faulty generalization
"In both of the murder mysteries I have read, the District Attorney was the culprit. All mystery writers like to make lawyers out to be villains.",faulty generalization
"Fred, the Australian, stole my wallet. Thus, all Australians are thieves.",faulty generalization
I asked six of my friends what they thought of the new spending restraints and they agreed it is a good idea. The new restraints are therefore generally popular.,faulty generalization
"Because cases spiked rapidly in New York City back in March, it justified us closing down the whole country.",faulty generalization
"""All sports car drivers are too aggressive!"" is an example of:",faulty generalization
All required university courses are boring.,faulty generalization
Happy families make happy children.,faulty generalization
Fred the Australian stole my wallet. All Australians are thieves!,faulty generalization
Science fiction books are not worth the time it takes to read them.,faulty generalization
"One of our clients doubled their conversions after changing all their landing page text to bright red. Therefore, changing all text to red is a proven way to double conversions.",faulty generalization
"My sister loves shopping, so all girls must love to shop too.",faulty generalization
People who learn from their mistakes don't repeat them.,faulty generalization
All women care about are their looks.,faulty generalization
"Asians make lousy athletes, but do well at the Math Olympiad.",faulty generalization
Art lifts the human spirit.,faulty generalization
"White men can't jump. No, really, they can't!",faulty generalization
Nobody thinks homelessness is a good thing.,faulty generalization
Within every man's heart is the desire to be free.,faulty generalization
You can tell that guy's Mexican - he's wearing a sombrero.,faulty generalization
Confession is good for the soul.,faulty generalization
"My grandfather was a typical Irishman - friendly, outgoing, and drunk half the time.",faulty generalization
"I know three redheads who have terrible tempers, and since Annabel has red hair, I'll bet she has a terrible temper, too.",faulty generalization
"Supreme Court Justice Byron White was an All-American football player while in college, so how can you say that athletes are dumb?",faulty generalization
Pastor Pete: People are turning to God everywhere! 9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ. Fred: Where did you find these people you interviewed? Pastor Pete: In my church.,faulty generalization
She was wearing cowboy boots in her last Instagram picture so she must be into country music.'Â,faulty generalization
"""The building is closed. I saw 2 people standing outside the door.""What is this type of logical fallacy?",faulty generalization
When you have too little or unrepresentative data to make claim.,faulty generalization
"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy.",faulty generalization
"The meteorologist predicted the wrong amount of rain for May. Obviously, the meteorologist is unreliable.",faulty generalization
"""The Americans I know say they elected the new president because they were tired of having their jobs sent overseas. This question of jobs brought this president into office.""",faulty generalization
"""The Omani hospital tested three patients from Abu Dhabi and found they had the disease. They immediately banned all people from Abu Dhabi from entering the hospital.""",faulty generalization
"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can't be that bad for you.",faulty generalization
The students in my sixth-grade class listen to a lot of reggaeton music. I usually hear reggaeton when they have their headphones or earphones on while working on NoRedInk. All sixth graders must listen to reggaeton. What type of faulty reasoning is being used?,faulty generalization
Three congressional representatives have had affairs. Members of Congress are adulterers.,faulty generalization
"""Guys are messy and unclean, but are really hard workers."" is an example of ...",faulty generalization
"""Flight attendants are the nicest people. I should know'ÂI've taken two flights.""",faulty generalization
"""Everyone loves going to the movies.""",faulty generalization
"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",faulty generalization
"Do most Americans believe in God? To find out, we asked over 10,000 scientists at colleges and universities throughout America. Less than 40 percent said they believed in God. The conclusion is obvious: Most Americans no longer believe in God.",faulty generalization
"Miller Lite is cheap beer, so the Guinness will be cheap, too",faulty generalization
Democrats are gay and Republicans are rich.,faulty generalization
People nowadays only vote with their emotions instead of their brains.,faulty generalization
"Even though it's only the first day, I can tell this is going to be a boring course.",faulty generalization
I would never buy a Buick. My father owned two of them and both of them had frequent transmission problems. Buicks obviously break down all the time.,faulty generalization
Everyone is against child pornography. I asked Mrs. Smith and Mr. Jones at the PTA meeting and they are definitely against it.,faulty generalization
"Jason said that that was all cool and everything, but his grandfather smoked, like, 30 cigarettes a day and lived until 97 - so don't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships.",faulty generalization
"This new test seemed so promising, but the 3 studies that supported its validity turned out to have critical methodological flaws, so the test is probably not valid.",faulty generalization
All robin have red breasts,faulty generalization
men don't cry,faulty generalization
"I know for a fact that ghosts exist. My friend, who is a very reliable person, has seen ghosts on many occasions.",faulty generalization
"Sam is riding her bike in her home town in Maine, minding her own business. A station wagon comes up behind her and the driver starts beeping his horn and then tries to force her off the road. As he goes by, the driver yells ""get on the sidewalk where you belong!"" Sam sees that the car has Ohio plates and concludes that all Ohio drivers are jerks.",faulty generalization
"Bill: ""You know, those feminists all hate men."" Joe: ""Really?"" Bill: ""Yeah. I was in my philosophy class the other day and that Rachel chick gave a presentation."" Joe: ""Which Rachel?"" Bill: ""You know her. She's the one that runs that feminist group over at the Women's Center. She said that men are all sexist pigs. I asked her why she believed this and she said that her last few boyfriends were real sexist pigs. "" Joe: ""That doesn't sound like a good reason to believe that all of us are pigs."" Bill: ""That was what I said."" Joe: ""What did she say?"" Bill: ""She said that she had seen enough of men to know we are all pigs. She obviously hates all men."" Joe: ""So you think all feminists are like her?"" Bill: ""Sure. They all hate men.""",faulty generalization
"Exercise is good. Therefore everybody should exercise.' ""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'",faulty generalization
"Everybody understands that the values in New York City are socially liberal and pro-abortion and pro-gay marriage,' he said. 'And focus on money and the media.",faulty generalization
I've never knowingly listened to a Neil Young record all the way through because they all sound like someone strangling a cat (don't they?).,faulty generalization
"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies.",faulty generalization
"Three congressional representatives have had affairs. Therefore, members of Congress are adulterers.",faulty generalization
"An environmental group illegally blocked loggers and workers at a nuclear plant. Therefore, environmentalists are radicals who take the law into their own hands.",faulty generalization
French people are great at kissing. Julie is French. Get me a date!,faulty generalization
Atheists are morally bankrupt.,faulty generalization
"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each. Therefore, Americans are very wealthy.",faulty generalization
Pastor Pete: People are turning to God everywhere! 9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ. Fred: Where did you find these people you interviewed? Pastor Pete: In my church.,faulty generalization
"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can't be that bad for you.",faulty generalization
"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand. Therefore, it must be great.",faulty generalization
"Wife: Should we buy the house? Husband: The Realtor didn't say anything about any problems, so I am sure it is fine. Let's get it!",faulty generalization
"It's getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",faulty generalization
French people are great at kissing. Julie is French. Get me a date!,faulty generalization
"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",faulty generalization
"If we use just one more can of hairspray this month, earth as we know it will no longer exist.",faulty generalization
Teacher: If I let you go to the bathroom pretty soon everybody will want to go to the bathroom. This is an example of,faulty generalization
"If I don't take this A.P. class, then I won't do well on the exam. If I don't do well on the A.P. exam, then I can't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the A.P. class.",faulty generalization
"We need to stop allowing colleges to increase tuition every year. The next thing we know, it's going to cost more to attend college for one semester than it is to buy a new home!",faulty generalization
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost.",faulty generalization
"If you allow one student to take an online course, soon everyone will want to, and the schools will be empty.",faulty generalization
"You should never gamble. Once you start gambling you find it hard to stop. Soon you are spending all your money on gambling, and eventually you will turn to crime to support your earnings.",faulty generalization
"If you don't study, you'll fail your test. Then you will do poorly in the class and you GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up poor and homeless.",faulty generalization
We can't freeze the academic year because then students won't graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.,faulty generalization
"If I don't take this AP class, then I won't do well on the exam. If I don't do well on the AP exam, then I won't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the AP class...",faulty generalization
"Yesterday you were 5 minutes late, today 10, and tomorrow you won't even show up!",faulty generalization
Habib didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,faulty generalization
"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",faulty generalization
"If we allow our 14 year-old to have her first date tonight, what's next? A wedding, kids?",faulty generalization
"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job.",faulty generalization
"If you don't expose your child to germs, he will never get sick. Therefore, he will never build up his immune system to fight illness. He will grow up to be a sickly adult.",faulty generalization
"My mother always told me that if I went outside right after bathing, during winter, I would catch pneumonia.",faulty generalization
"Today late for ten minutes, tomorrow late for an hour, and then someday you will simply cease to show up.",faulty generalization
"Everyone loves Rebecca, because she is so popular.",faulty generalization
"If America doesn't send weapons to the Syrian rebels, they won't be able to defend themselves against their warring dictator. They'll lose their civil war, and that dictator will oppress them, and the Soviets will consequently carve out a sphere of influence that spreads across the entire Middle East.",faulty generalization
"Jeff's mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has Jeff's mom committed?",faulty generalization
"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers.""",faulty generalization
"If you don't get up early every day you will be late. The more you are late the more trouble you will get into. The more trouble you get into, you will end up losing your job and your family will starve. (This is an example of...)",faulty generalization
If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.,faulty generalization
"Conclude that because A happens then B, C, D, E, F, G, H, I, J, K, L'Â¦ will inevitably happen.",faulty generalization
"If we allow students to have cell phones, it will lead to chaos in the classroom. If we have chaos in the classroom, the students will fail to learn. If they fail to learn, their lives will be ruined forever!",faulty generalization
"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child.",faulty generalization
"The use of laptops and other devices to replace books in the classroom would eventually lead to the downfall of printing and publishing companies, causing many people to be laid off from their jobs. As such, schools should stick to using printed books as study materials.",faulty generalization
This fallacy suggests that unlikely or ridiculous outcomes are likely when there's just not enough evidence to think so.,faulty generalization
"""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus!""",faulty generalization
"If you allow the students to redo this test, they are going to want to redo every assignment for the rest of the year.",faulty generalization
"Don't let your children stay up till midnight on New Year's Eve. Before you know it, they'll be demanding to stay up till midnight every night.",faulty generalization
"If I don't take the right classes in high school, then I won't be able to get into a good college. If I don't get into a good college, then I won't be able to get a job. If I can't get a job, then I am going to end up homeless.",faulty generalization
"If I don't take this Advanced Placement (A.P.) class, then I won't do well on the exam. If I don't do well on the A.P. exam, then I can't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the A.P. class",faulty generalization
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?",faulty generalization
"If we let teenagers wear whatever they want to school, they will no longer respect the rules and academic performance will decline.'Â",faulty generalization
"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again!",faulty generalization
"""If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers.""",faulty generalization
"If we let your brother stay, we'll have to let your whole family stay.",faulty generalization
Teacher: If I let you go to the bathroom pretty soon everybody will want to go to the bathroom.,faulty generalization
"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization
"James' mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has James' mom committed?",faulty generalization
"If you allow the students to redo this one test, they will always want to redo all future tests",faulty generalization
"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track us at work, our school children, and then eventually everyone!",faulty generalization
"""I failed my AP vocab test so clearly I'm going to fail the class. Then I won't get into college and will never get a job. I will have to live in my parents' basement for the rest of my life. My life is ruined"" is an example of",faulty generalization
the following is an example of...,faulty generalization
"If you don't study, you'll fail your test. Then you will do poorly in the class and your GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up homeless.",faulty generalization
"If we keep kids from enjoying recess, eventually they will never want to preserve nature.",faulty generalization
"""If you don't bring a pencil to class... you will end up sad and alone in life.""",faulty generalization
"If we allow a housing development to be built on Sunny Lake, a resort will come next, and soon we won't have any wilderness left!",faulty generalization
"If you vote for her, the government as we know it will fall apart.",faulty generalization
"""If you don't cancel your cable, then..., then...., and you'll wake up in a ditch."" This is an example of...",faulty generalization
"""If you lie, than you will end up in jail."" Is an example of...",faulty generalization
"Brad's mother asked him why he wasn't trying out for the school play. He responded: ''Because if Tom gets the male lead, which he always does, then I'll only be in the chorus, and it's not worth being in the play if I'm only going to be in the chorus.'' This is an example of which logical fallacy?",faulty generalization
"We have to stop the tuition increase! The next thing you know, they'll be charging $40,000 a semester!",faulty generalization
"""Yesterday, you were late for ten minutes. Today you were late for an hour. You know someday, you will simply cease to show up."" What logical fallacy is used in the statement above?",faulty generalization
"If you don't eat breakfast, you'll slouch in your desk. If you slouch in your desk, you'll hurt your back. If you hurt your back, you'll never become President. What fallacy is being committed here?",faulty generalization
"""We can't allow students to be paid for their grade because next thing you know they'll expect to be paid just for waking up in the morning.""",faulty generalization
"If we teach anton how to drive the car, he'll want to learn how to fly helicopters next!",faulty generalization
"If I eat this donut today, I'll probably do it again tomorrow and the next day, and then I'll never be able to eat healthy again.",faulty generalization
"""I am torn between studying for the quiz or not. But, I know that if I don't study for the quiz, I will fail. If I fail the quiz, I get a D in the class. If I get a D, it will lower my GPA. If my GPA lowers, I can't play football. If I can't play football, I don't get a scholarship. No scholarship, no college. No college, no life!""",faulty generalization
"If I don't take this AP class, then I won't do well on the exam. If I don't do well on the AP exam, then I can't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the AP class.",faulty generalization
"If you don't go to the party, then your friends will have fun without you. If your friends have fun without you, then they will stop inviting you to fun things. If your friends stop inviting you to fun things, you will have no social life. Therefore, if you don't go to this party, then you will have no social life.",faulty generalization
"For want of a nail the shoe was lost. For want of a shoe the horse was lost. For want of a horse the rider was lost. For want of a rider the battle was lost. For want of a battle the kingdom was lost. And all for the want of a nail. 'For Want of a Nail,'Â medieval proverb",faulty generalization
If Mr. Stiedemann assigns us homework then I can't work on other assignments in my other classes. Then my teachers will get mad and cause me to get angry. Then my anger will lead to behavioral issues and I'll get suspended.,faulty generalization
If I don't get this 5 point assignment done then I will fall behind in my grade and will get backed up so I can't get my other assignment done. Then I will fail the class and turn to a life of crime.,faulty generalization
"""Once you leave the house, you cannot go back. You will not receive any financial support so you need to stop going to school. Your credit card will be cut so you need to work. You will live on your own.""",faulty generalization
"TOPIC: Should people let their cats go outside? DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise."" ""But if you let cats go outside, then they'll hunt all the birds in the neighborhood. If you let them hunt all the birds, then robins will go extinct.""",faulty generalization
"If I don't take this AP class, then I won't do well on the AP exam. If I don't do well on the AP exam, then I can't get into a good college. If I can't get into a good college, then I won't be able to get a good job. If I can't get a good job then I'll have to live in my parents' basement forever. Guess I'll sign up for the AP class.",faulty generalization
"Your coach's policy is that no one can be a starter on game day if they miss practice. So, if you miss basketball practice today, you won't be a starter in Friday's game. Then you won't be the first freshman to start on the Varsity basketball team at our school.'Â'",faulty generalization
"No! Don't eat that piece of chocolate. Today, it's one piece of chocolate, but tomorrow, you've gained 20 lbs!'Â",faulty generalization
